"key","name","entity_type","cui","count"
"(-)","(-)","LAB_VALUE","","1"
",",",","DETAILED_DESCRIPTION","","1"
", H-1, I-",", H-1, I-","DETAILED_DESCRIPTION","","2"
"-rich","-rich","DETAILED_DESCRIPTION","","2"
"0.03 mm","0.03 mm","DISTANCE","","1"
"0.04 mm","0.04 mm","DISTANCE","","1"
"0.4 cm","0.4 cm","DISTANCE","","4"
"0.4-0.6 m/s","0.4-0.6 m/s","LAB_VALUE","","6"
"0.5 m/s","0.5 m/s","QUANTITATIVE_CONCEPT","","1"
"0.6 cm","0.6 cm","DISTANCE","","2"
"0.6 mg","0.6 mg","DOSAGE","","2"
"0.7 m/s","0.7 m/s","QUANTITATIVE_CONCEPT","","1"
"0.8 mm","0.8 mm","DISTANCE","","1"
"0.8-0.9 m/s","0.8-0.9 m/s","LAB_VALUE","","1"
"0.9 m/s","0.9 m/s","LAB_VALUE","","1"
"0.9 ml","0.9 ml","VOLUME","","2"
"0.9%","0.9%","DOSAGE","","4"
"0/3","0/3","QUANTITATIVE_CONCEPT","","2"
"01/02/2022","01/02/2022","DATE","","1"
"01/04/2021","01/04/2021","DATE","","3"
"04/2023","04/2023","DATE","","1"
"07/10/2021","07/10/2021","DATE","","1"
"08/02/2022","08/02/2022","DATE","","1"
"1-2 kg","1-2 kg","MASS","","1"
"1-2 mm","1-2 mm","QUANTITATIVE_CONCEPT","","1"
"1-2 tablespoons daily","1-2 tablespoons daily","DOSAGE","","1"
"1.0","1.0","LAB_VALUE","","4"
"1.20 m/s","1.20 m/s","QUANTITATIVE_CONCEPT","","1"
"1.25 m/s","1.25 m/s","QUANTITATIVE_CONCEPT","","1"
"1.5 litres","1.5 litres","VOLUME","","3"
"1.5 ml","1.5 ml","VOLUME","","1"
"1.5-2 l","1.5-2 l","VOLUME","","1"
"1.6 ml","1.6 ml","VOLUME","","1"
"1.8 ml","1.8 ml","VOLUME","","1"
"1.8 mm","1.8 mm","DISTANCE","","1"
"1.8-2 m/s","1.8-2 m/s","QUANTITATIVE_CONCEPT","","1"
"10 ml/minute","10 ml/minute","DOSAGE","","2"
"10 o'clock","10 o'clock","AREA","","2"
"10-14 days","10-14 days","DURATION","","1"
"10.3 ml","10.3 ml","VOLUME","","1"
"10.5 ml","10.5 ml","VOLUME","","1"
"10.6 g/dl","10.6 g/dl","LAB_VALUE","","2"
"10.9 ml","10.9 ml","VOLUME","","1"
"10/10","10/10","SEVERITY","","1"
"10/2022","10/2022","DATE","","1"
"1000x the upper limit","1000x the upper limit","LAB_VALUE","","2"
"10:00","10:00","TIME","","1"
"10:30","10:30","TIME","","1"
"10:40","10:40","TIME","","1"
"10x11x15 mm","10x11x15 mm","DISTANCE","","2"
"10x11x8 mm","10x11x8 mm","DISTANCE","","2"
"10x13x37 mm","10x13x37 mm","DISTANCE","","1"
"10x30x8 mm","10x30x8 mm","DISTANCE","","1"
"10x4x8 mm","10x4x8 mm","DISTANCE","","1"
"10x5 mm","10x5 mm","DISTANCE","","2"
"10x5x13 mm","10x5x13 mm","DISTANCE","","1"
"10x6 mm","10x6 mm","DISTANCE","","1"
"10x7","10x7","DISTANCE","","1"
"10x8x34 mm","10x8x34 mm","DISTANCE","","1"
