"id","entity1","entity1_label","relation","entity2","entity2_label","score","sentence","method","entity1_negated","entity1_uncertain","entity1_family","entity1_historical","entity2_negated","entity2_uncertain","entity2_family","entity2_historical","assertion","entity1_cui","entity1_canonical_name","entity1_semantic_group","entity2_cui","entity2_canonical_name","entity2_semantic_group"
"1","enlarged","SIGN_SYMPTOM","AFFECTS","perithyroid lymph nodes","BIOLOGICAL_STRUCTURE","0.8683","No enlarged perithyroid lymph nodes visible.","biolink_bert","True","False","False","False","True","False","False","False","negated","C0442800","Enlarged","CONC","","",""
"3","enlarged","SIGN_SYMPTOM","AFFECTS","perithyroid lymph nodes","BIOLOGICAL_STRUCTURE","0.8683","No enlarged perithyroid lymph nodes visible.","biolink_bert","True","False","False","False","True","False","False","False","negated","C0442800","Enlarged","CONC","","",""
"7","Focal lesions","DISEASE_DISORDER","LOCATED_IN","lower pole","BIOLOGICAL_STRUCTURE","0.815","Focal lesions: - in the lower pole of the right lobe a hypoechoic, well-demarcated lesion with mixed vascularity, measuring up to 8x5x13 mm - stable, previously 10x5x13 mm.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0221198","Lesion","DISO","C0227992","Structure of inferior pole of testis","ANAT"
"7","hypoechoic","SIGN_SYMPTOM","ASSOCIATED_WITH","mixed vascularity","SIGN_SYMPTOM","0.7541","Focal lesions: - in the lower pole of the right lobe a hypoechoic, well-demarcated lesion with mixed vascularity, measuring up to 8x5x13 mm - stable, previously 10x5x13 mm.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C3829578","Hypoechoic Focus","DISO","","",""
"9","Stable","QUALITATIVE_CONCEPT","INDICATES","focal lesions","DISEASE_DISORDER","0.812","Stable appearance of the thyroid focal lesions.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0205360","Stable status","CONC","C0221198","Lesion","DISO"
"13","hypoechoic","SIGN_SYMPTOM","CAUSES","nodule","DISEASE_DISORDER","0.8976","Below the lower pole, a heterogeneous hypoechoic nodule measuring 20x14x16 mm, previously 20x10x14 mm.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C3829578","Hypoechoic Focus","DISO","C0028259","Nodule","DISO"
"15","left lobe","BIOLOGICAL_STRUCTURE","HAS_VOLUME","5.8 ml","VOLUME","0.8523","Thyroid dimensions: right lobe 21x15x50 mm, volume 8.1 ml; left lobe 14x17x47 mm, volume 5.8 ml; isthmus 3 mm.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C1261077","Structure of left lower lobe of lung","ANAT","","",""
"17","History","HISTORY","PREVIOUSLY_OCCURRED","Follow-up","CLINICAL_EVENT","0.9014","History: Follow-up of thyroid nodules at an outside centre, status post biopsy.","biolink_bert","False","False","False","False","False","False","False","True","historical","C0019664","History","OCCU","C0589120","Follow-up status","DISO"
"17","Follow-up","CLINICAL_EVENT","PERFORMED_IN","outside centre","NONBIOLOGICAL_LOCATION","0.919","History: Follow-up of thyroid nodules at an outside centre, status post biopsy.","biolink_bert","False","False","False","True","False","False","False","False","historical","C0589120","Follow-up status","DISO","C0205101","Extrinsic","CONC"
"25","regrowth","SIGN_SYMPTOM","AFFECTS","thyroid bed","BIOLOGICAL_STRUCTURE","0.8543","Otherwise no features of regrowth in the thyroid bed, no focal lesions.","biolink_bert","True","False","False","False","False","False","False","False","negated","C0018270","Growth","PHYS","C0040132","Thyroid Gland","ANAT"
"25","regrowth","SIGN_SYMPTOM","CAUSES","focal lesions","DISEASE_DISORDER","0.8708","Otherwise no features of regrowth in the thyroid bed, no focal lesions.","biolink_bert","True","False","False","False","True","False","False","False","negated","C0018270","Growth","PHYS","C0221198","Lesion","DISO"
"27","pathologically enlarged","SIGN_SYMPTOM","AFFECTS","lymph nodes","BIOLOGICAL_STRUCTURE","0.8643","No pathologically enlarged lymph nodes visible in the neck bilaterally.","biolink_bert","True","False","False","False","True","False","False","False","negated","","","","C0024204","lymph nodes","ANAT"
